id,name,registry_code,favicon,is_unicorn,industries,business_types,lists,display_name,turnover,labour_taxes,employees,lq_turnover,lq_labour_taxes,lq_employees,ly_turnover,ly_labour_taxes,ly_employees,employees_change,turnover_change_percentage,labour_taxes_change_percentage,ly_employees_change,ly_turnover_change_percentage,ly_labour_taxes_change_percentage
5a56341c-7da2-41dd-b871-67c4d83f6ed5,KATANA TECHNOLOGIES OÜ,14239650,/logos/static/14239650.webp,False,['Software & Services'],"['B2C', 'B2B2C', 'B2B']","['ALL', 'EstVCA2024', 'EstVCA2023']",KATANA MRP,3933656.99,946441.36,87.0,3532918.01,932950.00,86.0,2621433.22,977988.11,99.0,1.0,11,1,-12.0,50,-3
40ea9032-9f9f-46b2-b0be-644c19e041e4,SCORO SOFTWARE OÜ,10806081,/logos/static/10806081.webp,False,['Software & Services'],['B2B'],"['EstVCA2024', 'EstVCA2020', 'EstVCA2022', 'EstVCA2019', 'EstVCA2023', 'ALL', 'EstVCA2021']",SCORO,5068067.11,719063.12,86.0,3904400.16,682832.08,90.0,4372701.24,656420.24,87.0,-4.0,30,5,-1.0,16,10
7ee324d1-1585-4b09-b1f2-370e0ffc38a8,MODULAR TECHNOLOGIES OÜ,14655118,/logos/static/14655118.webp,False,"['Software & Services', 'Fintech']",['B2B'],"['EstVCA2021', 'EstVCA2020', 'EstVCA2023', 'ALL', 'EstVCA2022', 'EstVCA2024']",TUUM,3856295.98,947776.76,85.0,3223603.23,740178.53,86.0,2553769.57,681014.04,72.0,-1.0,20,28,13.0,51,39
80c7f463-821b-498e-a037-749c11454143,RIDANGO AS,11717474,/logos/static/11717474.webp,False,[],[],"['EstVCA2022', 'EstVCA2021', 'EstVCA2020', 'EstVCA2023', 'ALL']",RIDANGO AS,5859372.84,632832.02,85.0,3070092.10,645394.05,81.0,4870965.96,597200.78,84.0,4.0,91,-2,1.0,20,6
858f1a1f-0682-4e26-ae48-9575455b3678,BOB W TECHNOLOGIES ESTONIA OÜ,14688342,/logos/static/14688342.webp,False,"['Travel & Hospitality', 'Consumer Services']","['B2C', 'B2B']","['EstVCA2021', 'ALL', 'Superangel', 'EstVCA2023', 'EstVCA2024', 'EstVCA2020', 'EstVCA2022', 'EstVCA2019']",BOB W,805379.56,406702.18,84.0,614905.93,391902.23,83.0,548044.61,289984.29,64.0,1.0,31,4,20.0,47,40
055b8d67-4c1c-41fc-9edd-302fc87c23ea,XOLO OÜ,12844111,/logos/static/12844111.webp,False,['Fintech'],"['B2C', 'B2B']","['ALL', 'EstVCA2023', 'EstVCA2021', 'EstVCA2019', 'EstVCA2022', 'EstVCA2020', 'EstVCA2024']",XOLO OÜ,1582756.45,470057.83,78.0,1368847.12,419847.29,79.0,1321530.83,427682.98,77.0,-1.0,16,12,1.0,20,10
30972aaf-720c-4ee4-a367-53cbfd2495e2,LINN SYSTEMS OÜ,12100853,/logos/static/12100853.webp,False,[],[],['ALL'],LINN SYSTEMS OÜ,1481286.89,504011.89,76.0,1334322.94,459994.11,79.0,1271888.66,446033.26,76.0,-3.0,11,10,0.0,16,13
110dee55-4baa-4328-b415-7660605b1512,MONESE LTD EESTI FILIAAL,12835419,/logos/static/12835419.webp,False,[],[],"['EstVCA2024', 'EstVCA2023', 'ALL']",MONESE,63135.00,471479.58,73.0,200609.44,421405.09,69.0,153598.27,945644.93,99.0,4.0,-69,12,-26.0,-59,-50
3cba1d43-9434-4635-97d4-ba5b0f896208,ADCASH OÜ,12141869,/logos/static/12141869.webp,False,[],[],['ALL'],ADCASH OÜ,11445893.76,890403.39,72.0,10854275.92,502576.60,65.0,11303133.31,738048.39,60.0,7.0,5,77,12.0,1,21
063f8ab4-2e46-4cf7-ab8d-aff2dadb6977,OÜ QUALITISTA,14308859,/logos/static/14308859.webp,False,['Software & Services'],"['B2B', 'B2C']",['ALL'],KLAUS,4068789.71,1072041.05,65.0,3241697.75,571810.58,59.0,2810743.89,942225.46,49.0,6.0,26,87,16.0,45,14
