id|company|is_unicorn|industries|display_name|turnover|employees|employees_change|turnover_change_percentage
9b28efd3-90b2-4770-bb95-405df9ee70b5|SENSUS SEPTIMA OÜ|False|['Defence', 'Software & Services']|SENSUSQ|265195.45|18.0|-3.0|3893
0415f080-2d71-4837-ac1f-430774c5beaf|3COMMAS TECHNOLOGIES OÜ|False|['Fintech', 'Software & Services']|3COMMAS|4245418.32|17.0|0.0|22
0a2bb96d-84e6-4e37-9b10-a4df79ff0c46|OPTIGON OÜ|False|['Transportation', 'Infrastructure & Logistics', 'Cleantech']|VOK BIKES|551865.87|16.0|2.0|39
284371fa-f563-480e-bc1c-bad8605d1d01|SUPERHANDS OÜ|False|['Energy', 'Manufacturing', 'Telecommunication & Services']|SUPERHANDS|435570.13|16.0|2.0|-35
845a9c25-fd7a-4b8e-b071-9c6d2837b346|WOOLA OÜ|False|['Cleantech', 'E-commerce', 'Manufacturing']|WOOLA|383736.48|16.0|-2.0|44
77ec791e-06cc-4026-a475-5923bc72acb9|STAR CLOUD OÜ|False|['Manufacturing', 'Software & Services', 'Edtech']|OPIQ|711743.64|15.0|0.0|-8
a5ebc532-2839-4731-92b8-cd4908cb5ff7|MCF GROUP ESTONIA OÜ|False|['Telecommunication & Services', 'Proptech', 'Data & Analytics']|MCF|706502.50|15.0|-1.0|7
d9f5ad70-92a2-48a9-a1ea-d6c2ab5b3977|CITYBEE EESTI OÜ|False|['Transportation']|CITYBEE|3253578.07|15.0|-1.0|-16
17175007-bf07-492e-aece-297ca3c1e32b|BETTER MEDICINE OÜ|False|['Medical Devices', 'Science Tools & Services', 'Healthcare']|BETTER MEDICINE|12594.71|14.0|2.0|538
d9821ea6-2584-4092-9e87-d55733fa908c|REMATO SOLUTIONS OÜ|False|['Software & Services', 'Construction']|REMATO|388879.09|14.0|1.0|-8
06267331-b543-4e97-b97f-ba9074f38a39|FIIZY OÜ|False|['E-commerce', 'Data & Analytics', 'Fintech']|FIIZY|2720604.16|13.0|0.0|-18
0e1d4b4c-0a7c-4c3f-ac07-d5bec1ec8c90|LIGHTCODE PHOTONICS OÜ|False|['Deep tech', 'Hardware & Electronic Equipment', 'Engineering']|LIGHTCODE PHOTONICS|7660.75|13.0|0.0|71
32cf4697-2492-4c24-8b4b-a2b1403447cb|ARBONICS OÜ|False|['Forestry & Paper', 'Software & Services', 'Cleantech']|ARBONICS|250842.60|13.0|1.0|-4
d2524c14-cd07-45c3-a2f2-c5c3fc36d2a1|RINGO ECO OÜ|False|['Cleantech', 'Retail', 'Infrastructure & Logistics']|RINGO|52474.22|13.0|0.0|-40
9712ffd0-9f61-4885-b6a2-f1d98722572b|SENDSMAILY OÜ|False|['Software & Services', 'Telecommunication & Services', 'Data & Analytics']|SMAILY EMAIL MARKETING AND AUTOMATION|448349.68|12.0|0.0|13
a312f15f-1329-47af-bb09-10cfa5b3a781|CARA HEALTH OÜ|False|['Digital Health', 'E-commerce', 'Healthcare']|CARÁ HEALTH|20276.37|12.0|1.0|18
122cb03d-0c84-4286-9506-2726c92a3654|EZIIL PRODUCTION INTELLIGENCE OÜ|False|['Software & Services', 'Engineering']|EZIIL PRODUCTION INTELLIGENCE OÜ|143981.90|11.0|0.0|-15
621533d0-dac9-41e2-b57b-46c7eb024c4f|7 FIGURES OÜ|False|['Software & Services', 'Media', 'Marketing']|MOTHERLINK|1607590.04|11.0|-2.0|14
ca4f6807-9728-4e2c-8d78-b16df57b00f6|FINTECH MARKET OÜ|False|['Fintech', 'Software & Services']|FINTECH-MARKET|266167.82|11.0|1.0|2
06efd5fe-6972-4bef-93a4-0eb4b86eeec9|OÜ EYEVI TECHNOLOGIES|False|['Road & Rail', 'Construction', 'Data & Analytics']|EYEVI TECHNOLOGIES|303269.37|10.0|0.0|-35
6cc2b1e0-afe7-4497-bec6-883fa871046b|OÜ HUGO|False|['Legaltech', 'Software & Services']|HUGO.LEGAL|262779.99|10.0|-1.0|27
90cebb72-183a-425a-938b-b191371b68bc|JOBBATICAL OÜ|False|['E-commerce', 'Software & Services', 'Consumer Services', 'Retail']|JOBBATICAL|1451417.95|10.0|-7.0|-10
a63ad63f-4004-415c-9c41-db08ac286d09|REBELROAM OÜ|False|['Telecommunication & Services', 'Transportation', 'Software & Services']|REBELROAM OÜ|1342616.02|10.0|0.0|8
1a43a76e-3f45-4962-aaef-c03c246f5d9e|UPSTEAM EESTI OÜ|False|['Software & Services', 'Transportation', 'Automotive']|FLEETFOX|55801.77|9.0|0.0|-128
3d7c976a-5773-48fb-b705-3d1cacf56793|THINNECT OÜ|False|['Telecommunication & Services', 'Software & Services']|THINNECT|115930.43|9.0|0.0|184
833ba022-c3bb-4a44-a42b-9fc6625d0dd2|HEPTA GROUP AIRBORNE OÜ|False|['Cleantech', 'Data & Analytics', 'Energy']|HEPTA AIRBORNE (ESTONIA)|275513.81|9.0|2.0|-38
b34cba56-bbed-4b72-9d27-ee701c7715a4|CRYSTALSPACE OÜ|False|['Deep tech']|CRYSTALSPACE OÜ|451425.15|9.0|3.0|492
e0ab8f6d-1400-4686-bf49-2a625ef8891e|MYDELLO OÜ|False|['Road & Rail', 'Aerospace', 'Transportation']|MYDELLO|1903360.49|9.0|-1.0|-3
0148d252-2cfc-4fa2-b375-47a50c451914|MEDIAMODIFIER OÜ|False|['Media', 'Software & Services', 'Marketing']|MEDIAMODIFIER|128452.04|8.0|0.0|-27
214313a4-da2b-4a9e-a3be-bbd7c35a85b3|DRIVEX TECHNOLOGIES OÜ|False|['Automotive', 'Deep tech']|DRIVEX TECHNOLOGIES|123002.90|8.0|0.0|3
8d097b11-8ddf-41a3-bb47-d89e15e3fd39|CACHET OÜ|False|['Fintech', 'Data & Analytics']|CACHET|621915.65|8.0|3.0|0
9afbbd99-14dd-488d-bdee-7db91569bcdf|SKYSELECT OÜ|False|['Software & Services']|SKYSELECT|354335.38|8.0|-8.0|-8
b91afc94-2c51-4acc-94b8-21fe3d657101|BIDRENT OÜ|False|['Software & Services', 'Cleantech', 'Proptech']|BIDRENTO|123317.49|8.0|-2.0|4
c013b9af-924a-44a9-86f8-4b3f632a1c4f|REVERSE RESOURCES OÜ|False|['Manufacturing', 'Data & Analytics']|REVERSE RESOURCES|463963.97|8.0|2.0|
c79387a5-8d5a-482f-8fd7-f7f1a8abc8fe|BOTGUARD OÜ|False|['Software & Services', 'Telecommunication & Services']|BOTGUARD|9448518.40|8.0|1.0|372
cb6a8858-9c45-478b-b015-60215ddccd8e|VIVEO HEALTH OÜ|False|['Fintech', 'Data & Analytics', 'Healthcare']|VIVEO HEALTH|4252.23|8.0|-1.0|127
ebcd6ee1-8b62-41cd-81e3-cc0483841c28|NEVERCODE OÜ|False|['Software & Services']|NEVERCODE|3102091.07|8.0|0.0|915
fe1b1a83-6bd0-4355-9547-8472f42e60bd|SCALABLE HOSTING SOLUTIONS OÜ|False|['Software & Services']|SCALACUBE|1409309.09|8.0|-1.0|14
0b9ee7dd-eeea-4191-9177-2d1dce2d2361|SPACEIT OÜ|False|['Software & Services', 'Data & Analytics', 'Aerospace']|SPACEIT|326876.38|7.0|0.0|23
5752fe35-674c-4dbf-bdef-b9e3275e020f|DERMTEST OÜ|False|['Healthcare', 'Software & Services']|DERMTEST OÜ|40127.84|7.0|1.0|3
8fe146dd-8fa2-427b-a9bd-ba5464237f67|OÜ REWILD|False|['Data & Analytics', 'Transportation', 'Construction']|REWILD|104764.51|7.0|0.0|17
a25b5261-0bea-4c47-ad52-0d2c44a1d473|OUTVIO OÜ|False|['E-commerce', 'Software & Services']|OUTVIO OÜ|602223.31|7.0|0.0|76
b2b5b6c6-3557-4a65-bbeb-55a33227da4f|GAMECAN OÜ|False|['Software & Services']|OVERSTEP BY GAMECAN|5234.33|7.0|-9.0|-87
bca4fa32-63a3-42d3-ad43-cb2dee787aef|MODERAN SOLUTIONS OÜ|False|['Software & Services', 'Proptech', 'Fintech']|MODERAN SOLUTIONS|145855.08|7.0|0.0|-3
d074fc98-3149-4bc5-9884-f372f70da3b5|WAYBILLER OÜ|False|['Transportation', 'Infrastructure & Logistics', 'Software & Services']|WAYBILLER OÜ|127534.94|7.0|0.0|-1
d8a1c34f-ff58-4bce-85f6-b228d1e8a1f9|AUTLO OÜ|False|['Transportation', 'Fintech']|AUTLO OÜ|182667.57|7.0|1.0|149
dd576c1c-fabf-40ff-894a-c3d8d6c63d0c|CERTIFIC OÜ|False|['Software & Services']|CERTIFIC OÜ|171669.30|7.0|0.0|27
